date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
2016-01-21,11.0,5.0,12.0,2.0,5.0,10.0,5.0,25.0,1.0,3.0,2.0,1.0,1.0,4.0,10.0,4.0,11.0,1.0,14.0,2.0,5.0,4.0,22.0,18.0,36.0,10.0,12.0,25.0,21.0,10.0,10.0,19.0,5.0,6.0,7.0,3.0,2.0,12.0,5.0,6.0,3.0,21.0,17.0,14.0,2.0,7.0,0.0,4.0,18.0,3.0,2.0,3.0,10.0,1.0,0.0,2.0,4.0,5.0,3.0,1.0,12.0,5.0,9.0,2.0,6.0,9.0,21.0,19.0,13.0,12.0,11.0,1.0,10.0,1.0,4.0,2.0,1.0
2016-01-22,10.0,8.0,6.0,7.0,3.0,12.0,12.0,27.0,1.0,9.0,0.0,7.0,3.0,2.0,14.0,8.0,0.0,1.0,14.0,3.0,4.0,14.0,26.0,15.0,32.0,23.0,22.0,27.0,23.0,12.0,6.0,34.0,4.0,0.0,8.0,2.0,1.0,7.0,3.0,6.0,7.0,6.0,19.0,12.0,3.0,6.0,1.0,7.0,15.0,3.0,3.0,8.0,10.0,2.0,4.0,5.0,5.0,4.0,2.0,2.0,12.0,4.0,4.0,3.0,9.0,10.0,16.0,24.0,20.0,6.0,23.0,1.0,6.0,3.0,6.0,2.0,6.0
2016-01-23,13.0,7.0,9.0,6.0,1.0,29.0,17.0,34.0,1.0,4.0,3.0,3.0,2.0,7.0,12.0,5.0,0.0,1.0,15.0,8.0,6.0,10.0,30.0,25.0,35.0,12.0,14.0,27.0,23.0,22.0,4.0,28.0,6.0,1.0,3.0,2.0,4.0,11.0,4.0,4.0,4.0,4.0,18.0,13.0,3.0,16.0,1.0,2.0,12.0,2.0,7.0,7.0,8.0,0.0,4.0,3.0,0.0,9.0,4.0,3.0,5.0,2.0,9.0,3.0,8.0,19.0,15.0,25.0,15.0,1.0,20.0,2.0,6.0,1.0,3.0,2.0,8.0
2016-01-24,7.0,11.0,7.0,7.0,6.0,17.0,5.0,39.0,1.0,4.0,3.0,1.0,0.0,2.0,12.0,9.0,5.0,1.0,13.0,6.0,8.0,17.0,18.0,20.0,34.0,11.0,10.0,23.0,20.0,15.0,3.0,18.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,5.0,7.0,16.0,19.0,21.0,3.0,16.0,1.0,6.0,20.0,1.0,6.0,6.0,5.0,0.0,1.0,3.0,1.0,8.0,3.0,3.0,9.0,2.0,9.0,1.0,4.0,20.0,19.0,16.0,12.0,9.0,18.0,2.0,6.0,2.0,5.0,4.0,4.0
2016-01-25,16.0,8.0,7.0,9.0,3.0,18.0,5.0,24.0,0.0,5.0,3.0,1.0,2.0,9.0,8.0,4.0,9.0,2.0,21.0,2.0,9.0,7.0,23.0,23.0,42.0,20.0,9.0,22.0,30.0,15.0,9.0,28.0,7.0,2.0,10.0,2.0,2.0,8.0,3.0,11.0,1.0,6.0,25.0,12.0,3.0,23.0,1.0,7.0,21.0,4.0,3.0,3.0,13.0,3.0,0.0,3.0,0.0,8.0,2.0,4.0,11.0,6.0,6.0,3.0,6.0,15.0,17.0,16.0,15.0,10.0,26.0,0.0,11.0,2.0,4.0,3.0,4.0
2016-01-26,11.0,5.0,10.0,2.0,6.0,7.0,8.0,13.0,0.0,2.0,1.0,2.0,2.0,6.0,7.0,9.0,5.0,3.0,19.0,4.0,5.0,16.0,13.0,21.0,35.0,19.0,11.0,26.0,18.0,14.0,4.0,13.0,6.0,1.0,12.0,2.0,6.0,7.0,7.0,9.0,5.0,4.0,19.0,14.0,3.0,15.0,2.0,4.0,20.0,3.0,5.0,2.0,10.0,2.0,0.0,6.0,0.0,7.0,1.0,6.0,7.0,3.0,4.0,2.0,4.0,12.0,13.0,15.0,23.0,12.0,14.0,3.0,11.0,1.0,4.0,4.0,7.0
2016-01-27,5.0,6.0,13.0,7.0,1.0,11.0,11.0,16.0,0.0,11.0,0.0,0.0,6.0,6.0,10.0,7.0,8.0,5.0,15.0,4.0,3.0,12.0,23.0,19.0,36.0,19.0,5.0,27.0,12.0,14.0,4.0,33.0,5.0,6.0,7.0,0.0,2.0,10.0,3.0,9.0,8.0,14.0,25.0,24.0,4.0,14.0,2.0,2.0,19.0,2.0,3.0,3.0,7.0,4.0,4.0,6.0,2.0,6.0,2.0,5.0,13.0,3.0,7.0,0.0,6.0,14.0,18.0,16.0,11.0,4.0,11.0,2.0,5.0,0.0,2.0,1.0,6.0
2016-01-28,16.0,10.0,9.0,7.0,4.0,11.0,8.0,22.0,1.0,3.0,1.0,0.0,2.0,6.0,11.0,15.0,5.0,3.0,15.0,4.0,3.0,14.0,30.0,19.0,47.0,41.0,21.0,18.0,26.0,7.0,10.0,21.0,1.0,1.0,7.0,5.0,1.0,3.0,2.0,6.0,1.0,16.0,28.0,14.0,2.0,14.0,1.0,8.0,17.0,2.0,5.0,6.0,8.0,1.0,5.0,6.0,4.0,11.0,1.0,6.0,11.0,2.0,5.0,1.0,3.0,15.0,23.0,26.0,21.0,5.0,21.0,5.0,7.0,2.0,4.0,3.0,3.0
2016-01-29,9.0,7.0,6.0,13.0,0.0,20.0,15.0,30.0,1.0,1.0,5.0,0.0,0.0,4.0,12.0,14.0,8.0,3.0,24.0,6.0,4.0,19.0,20.0,17.0,45.0,17.0,16.0,32.0,23.0,12.0,8.0,18.0,3.0,3.0,9.0,0.0,3.0,8.0,6.0,9.0,5.0,16.0,16.0,9.0,3.0,13.0,3.0,4.0,20.0,2.0,2.0,7.0,7.0,2.0,4.0,6.0,1.0,9.0,5.0,5.0,19.0,1.0,6.0,2.0,6.0,19.0,10.0,9.0,18.0,9.0,26.0,3.0,5.0,2.0,4.0,6.0,8.0
2016-01-30,13.0,7.0,14.0,4.0,5.0,19.0,11.0,43.0,1.0,5.0,1.0,1.0,1.0,10.0,5.0,6.0,6.0,4.0,11.0,9.0,9.0,16.0,20.0,27.0,36.0,14.0,14.0,24.0,28.0,19.0,11.0,22.0,4.0,6.0,6.0,4.0,2.0,6.0,2.0,6.0,4.0,6.0,22.0,14.0,3.0,14.0,0.0,6.0,25.0,2.0,4.0,8.0,3.0,0.0,1.0,4.0,3.0,5.0,1.0,9.0,10.0,4.0,3.0,2.0,4.0,16.0,19.0,15.0,16.0,9.0,21.0,0.0,7.0,2.0,6.0,5.0,10.0
